counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/assert.js,3,0,13,5,
2,-,UNNAMED,0,0,true,./src/init/resources/bluebird-master/bluebird-master/src/assert.js,2,0,55,5,
3,-,UNNAMED,0,0,false,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,35,0,103,5,
4,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,239,0,302,5,
5,-,UNNAMED,1,0,false,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,304,0,323,5,
6,stackDetection,NAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,950,0,1027,7,
7,-,UNNAMED,0,0,true,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,50,8,64,13,
8,-,UNNAMED,0,0,true,./src/init/resources/bluebird-master/bluebird-master/src/debuggability.js,66,8,89,13,
9,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/es5.js,1,0,4,5,
10,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/promisify.js,218,4,218,52,
11,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/src/props.js,11,0,28,5,
12,-,UNNAMED,0,0,true,./src/init/resources/bluebird-master/bluebird-master/src/schedule.js,36,4,62,9,
13,-,UNNAMED,1,0,false,./src/init/resources/bluebird-master/bluebird-master/src/util.js,112,0,176,5,
14,-,UNNAMED,1,0,false,./src/init/resources/bluebird-master/bluebird-master/src/util.js,265,0,278,5,
15,-,UNNAMED,1,1,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-sham.js,5,0,445,3,
16,freeze,NAMED,1,1,true,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-sham.js,387,4,395,22,
17,-,UNNAMED,1,1,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-shim.js,5,0,1320,3,
18,-,UNNAMED,0,0,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-shim.js,950,4,1092,9,
19,-,UNNAMED,0,0,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-shim.js,1125,4,1200,9,
20,-,UNNAMED,1,1,true,./src/init/resources/bluebird-master/bluebird-master/test/browser/es5-shim.js,792,4,929,13,
21,-,UNNAMED,1,0,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/have_getters.js,1,0,20,5,
22,-,UNNAMED,1,1,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/json.js,2,0,17,306,
23,-,UNNAMED,0,0,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/main.js,9,0,73,5,
24,-,UNNAMED,0,0,false,./src/init/resources/bluebird-master/bluebird-master/test/browser/mocha.js,1,1,6070,5,
25,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/browser/mocha.js,75,0,408,5,
26,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/browser/mocha.js,5912,0,5912,45,
27,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/2.2.5.js,11,0,14,5,
28,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/2.2.5.js,16,0,18,5,
29,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/bind.js,4,0,4,45,
30,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/constructor.js,111,4,113,9,
31,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/generator.js,402,4,417,9,
32,-,UNNAMED,5,5,false,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,24,0,2272,2,
33,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,26,0,52,5,
34,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,27,4,37,9,
35,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,197,0,332,26,
36,stackDetection,NAMED,1,0,false,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,270,0,330,5,
37,-,UNNAMED,1,0,true,./src/init/resources/bluebird-master/bluebird-master/test/mocha/helpers/bluebird0_7_0.js,388,0,501,18,
