counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/js/todoModel.js,3,1,88,4,
2,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/js/utils.js,3,0,50,5,
3,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/base.js,2,0,138,5,
4,-,UNNAMED,5,7,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/base.js,117,8,120,90,
5,-,UNNAMED,1,1,true,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/base.js,8,4,114,11,
6,-,UNNAMED,1,1,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/director.js,6,0,723,51,
7,iterate,NAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/director.js,315,2,329,7,
8,-,UNNAMED,1,1,true,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/director.js,253,4,260,13,
9,-,UNNAMED,1,1,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,4,0,15919,3,
10,-,UNNAMED,1,1,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,1774,1,1895,67,
11,-,UNNAMED,2,2,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,2339,0,10009,4,
12,-,UNNAMED,1,1,true,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,10013,0,10037,7,
13,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,480,0,491,4,
14,-,UNNAMED,0,0,true,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/JSXTransformer.js,9989,4,10007,9,
15,-,UNNAMED,1,1,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__application-actions/vendor/js/react-with-addons.js,4,0,21642,3,
16,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__e2e-snapshots/app.js,3,0,152,4,
17,-,UNNAMED,0,0,false,./src/init/resources/cypress-example-recipes-master/cypress-example-recipes-master/examples/blogs__vue-vuex-rest/app.js,3,0,176,4,
