counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,0,0,false,./src/init/resources/flot-master/flot-master/examples/axes-time-zones/date.js,414,2,893,4,
2,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/examples/shared/jquery-ui/jquery-ui.min.js,7,0,7,4192,
3,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/examples/shared/jquery-ui/jquery-ui.min.js,7,4192,7,10581,
4,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/examples/shared/jquery-ui/jquery-ui.min.js,7,10581,7,13300,
5,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/examples/shared/jquery-ui/jquery-ui.min.js,7,13300,7,30507,
6,-,UNNAMED,0,0,true,./src/init/resources/flot-master/flot-master/examples/shared/jquery-ui/jquery-ui.min.js,7,4846,7,5136,
7,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/lib/globalize.culture.en-US.js,14,0,33,11,
8,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/lib/globalize.js,11,0,1601,11,
9,-,UNNAMED,0,0,false,./src/init/resources/flot-master/flot-master/lib/globalize.js,705,0,854,5,
10,-,UNNAMED,0,0,false,./src/init/resources/flot-master/flot-master/lib/globalize.js,884,0,1241,5,
11,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/lib/jquery.event.drag.js,12,1,145,13,
12,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/lib/jquery.mousewheel.js,15,0,86,11,
13,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.canvaswrapper.js,15,0,538,11,
14,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.colorhelpers.js,23,0,199,11,
15,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.axislabels.js,32,0,212,11,
16,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.browser.js,8,0,98,11,
17,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.categories.js,46,0,202,11,
18,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.composeImages.js,35,0,325,11,
19,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.crosshair.js,61,0,202,11,
20,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.drawSeries.js,9,0,657,11,
21,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.errorbars.js,65,0,375,11,
22,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.fillbetween.js,32,0,254,11,
23,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.flatdata.js,20,0,47,11,
24,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.hover.js,27,0,349,11,
25,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.image.js,55,0,249,11,
26,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.js,9,0,2786,11,
27,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.legend.js,5,0,400,11,
28,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.logaxis.js,21,0,298,11,
29,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.navigate.js,104,0,798,11,
30,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.pie.js,58,0,786,11,
31,-,UNNAMED,2,3,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.resize.js,23,0,23,1674,
32,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.resize.js,26,0,60,11,
33,-,UNNAMED,0,0,true,./src/init/resources/flot-master/flot-master/source/jquery.flot.resize.js,23,1203,23,1436,
34,-,UNNAMED,0,0,true,./src/init/resources/flot-master/flot-master/source/jquery.flot.resize.js,23,1465,23,1657,
35,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.saturated.js,1,0,43,11,
36,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.selection.js,81,0,504,11,
37,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.stack.js,38,0,220,11,
38,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.symbol.js,16,0,98,11,
39,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.threshold.js,45,0,143,11,
40,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.time.js,10,0,585,11,
41,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.touch.js,3,0,319,11,
42,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.touchNavigate.js,3,0,360,11,
43,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.flot.uiConstants.js,1,0,10,11,
44,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/source/jquery.js,15,0,9473,13,
45,doScrollCheck,NAMED,0,0,false,./src/init/resources/flot-master/flot-master/source/jquery.js,880,16,894,21,
46,add,NAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.js,1000,20,1012,36,
47,-,UNNAMED,1,2,false,./src/init/resources/flot-master/flot-master/source/jquery.js,3670,0,5354,13,
48,-,UNNAMED,0,0,false,./src/init/resources/flot-master/flot-master/source/jquery.js,5179,4,5332,9,
49,-,UNNAMED,0,0,false,./src/init/resources/flot-master/flot-master/source/jquery.js,6477,0,6538,5,
50,-,UNNAMED,1,1,false,./src/init/resources/flot-master/flot-master/source/jquery.js,8373,0,8378,32,
51,-,UNNAMED,0,0,true,./src/init/resources/flot-master/flot-master/source/jquery.js,1244,0,1509,5,
