counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
138,-,UNNAMED,1,0,false,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,96882,0,96896,4,
139,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,98872,0,98885,5,
140,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108313,0,108329,10,
141,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108359,0,108375,10,
142,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108405,0,108421,10,
143,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108451,0,108467,10,
144,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108524,0,108659,5,
145,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,115111,0,115114,5,
146,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,125997,0,126040,68,
147,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,126334,0,126376,78,
148,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127065,0,127073,5,
149,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127074,0,127091,78,
150,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127114,0,127129,5,
151,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127130,0,127154,68,
152,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127155,0,127191,68,
153,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127229,0,127240,5,
154,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127241,0,127246,5,
155,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127247,0,127327,68,
156,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127375,0,127384,5,
157,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127385,0,127470,78,
158,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127498,0,127506,5,
159,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127507,0,127566,78,
160,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127592,0,127600,5,
161,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127601,0,127626,78,
162,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127724,0,127733,5,
163,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127734,0,127770,68,
164,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127790,0,127798,5,
165,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127799,0,127857,78,
166,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127880,0,127889,5,
167,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127890,0,127929,68,
168,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127961,0,127970,5,
169,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127971,0,128031,68,
170,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128032,0,128038,5,
171,-,UNNAMED,1,0,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128068,0,128076,5,
172,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128077,0,128141,78,
173,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128142,0,128154,68,
174,-,UNNAMED,1,1,true,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128155,0,128183,68,
