counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,14,0,9227,13,
2,doScrollCheck,NAMED,0,0,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,878,16,892,21,
3,add,NAMED,1,1,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,998,20,1007,36,
4,-,UNNAMED,1,2,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,3677,0,5139,13,
5,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,4991,4,5125,9,
6,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,6266,0,6326,5,
7,-,UNNAMED,1,1,false,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,8152,0,8157,32,
8,-,UNNAMED,0,0,true,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,1239,0,1507,5,
9,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/app.js,5,0,261,5,
10,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/CanvasBackgroundController.js,1,0,27,5,
11,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/CursorCoordinatesController.js,1,0,84,5,
12,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/AbstractDialogController.js,1,0,29,5,
13,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/BrowseBackups.js,1,0,81,5,
14,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/steps/SelectSession.js,1,0,101,5,
15,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/steps/SessionDetails.js,1,0,102,5,
16,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/BrowseLocalController.js,1,0,58,5,
17,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/CheatsheetController.js,1,0,185,5,
18,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/CreatePaletteController.js,1,0,132,5,
19,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/DialogsController.js,1,0,148,5,
20,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/ImportWizard.js,1,0,202,5,
21,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/AbstractImportStep.js,1,0,65,5,
22,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/AdjustSize.js,1,0,109,5,
23,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/ImageImport.js,1,0,282,5,
24,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/InsertLocation.js,1,0,59,5,
25,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/SelectMode.js,1,0,42,5,
26,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/controller/dialogs/PerformanceInfoController.js,1,0,11,5,
