counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2,Comments,,,
1,-,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,FALSE,1,0,"assignement to no local variables (lines 117,120)",,,
2,-,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,TRUE,0,0,can be refactored with line 17 (need these import statements),,,
3,-,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,TRUE,0,0,no need for refactor,,,
4,ArrowFunction,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,TRUE,0,0,no need for refactor,,,
5,-,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,FALSE,1,1,use of no local variables and methods with new values ,,,
6,-,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,FALSE,1,1,use of no local variables and methods with new values ,,,
7,-,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,FALSE,1,1,use of no local variables and methods with new values ,,,
8,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,TRUE,0,0,init Parser with local variables and methods,,,
9,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,TRUE,0,0,init Lexer with local variables and methods,,,
10,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,TRUE,0,0,init Parser with local variables and methods,,,
11,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,TRUE,0,0,init Lexer with local variables and methods,,,
12,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,TRUE,0,0,init Parser with local variables and methods,,,
13,-,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,TRUE,0,0,init Lexer with local variables and methods,,,
14,-,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,TRUE,0,0,Implements RFC 3986 for parsing/formatting URIs.,,,
15,-,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,FALSE,1,0,html4 as not local variable assigned changes value within iife,,,
16,-,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,TRUE,0,0,no need for refactor,,,
17,-,./src/init/resources/amphtml-master/amphtml-master/third_party/d3-geo-projection/d3-geo-projection.js,2,13493,2,13609,TRUE,0,0,no need for refactor,,,
18,-,./src/init/resources/amphtml-master/amphtml-master/third_party/inputmask/bundle.js,11,34094,11,36649,TRUE,0,0,no need for refactor,,,
19,-,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,1447,4,12333,TRUE,0,0,no need for refactor,,,
20,-,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,17207,5,10671,TRUE,0,0,no need for refactor,,,
21,-,./src/init/resources/amphtml-master/amphtml-master/third_party/wgxpath/wgxpath.js,33,3,33,253,TRUE,0,0,no need for refactor,,,
,,,, ,,,, ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,, , , , 
