counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2
138,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,96882,0,96896,4,,,
139,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,98872,0,98885,5,,,
140,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108313,0,108329,10,,,
141,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108359,0,108375,10,,,
142,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108405,0,108421,10,,,
143,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108451,0,108467,10,,,
144,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,108524,0,108659,5,,,
145,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,115111,0,115114,5,,,
146,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,125997,0,126040,68,,,
147,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,126334,0,126376,78,,,
148,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127065,0,127073,5,,,
149,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127074,0,127091,78,,,
150,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127114,0,127129,5,,,
151,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127130,0,127154,68,,,
152,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127155,0,127191,68,,,
153,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127229,0,127240,5,,,
154,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127241,0,127246,5,,,
155,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127247,0,127327,68,,,
156,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127375,0,127384,5,,,
157,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127385,0,127470,78,,,
158,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127498,0,127506,5,,,
159,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127507,0,127566,78,,,
160,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127592,0,127600,5,,,
161,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127601,0,127626,78,,,
162,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127724,0,127733,5,,,
163,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127734,0,127770,68,,,
164,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127790,0,127798,5,,,
165,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127799,0,127857,78,,,
166,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127880,0,127889,5,,,
167,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127890,0,127929,68,,,
168,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127961,0,127970,5,,,
169,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,127971,0,128031,68,,,
170,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128032,0,128038,5,,,
171,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128068,0,128076,5,,,
172,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128077,0,128141,78,,,
173,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128142,0,128154,68,,,
174,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128155,0,128183,68,,,
175,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128203,0,128210,5,,,
176,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128211,0,128220,68,,,
177,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128241,0,128250,5,,,
178,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128251,0,128296,78,,,
179,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128406,0,128416,5,,,
180,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128417,0,128449,68,,,
181,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128469,0,128476,5,,,
182,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128477,0,128505,78,,,
183,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128536,0,128544,5,,,
184,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128545,0,128601,78,,,
185,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128634,0,128644,5,,,
186,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128646,0,128719,78,,,
187,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128740,0,128748,5,,,
188,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128749,0,128757,68,,,
189,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128818,0,128825,5,,,
190,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128826,0,128834,68,,,
191,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128852,0,128859,5,,,
192,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128860,0,128877,68,,,
193,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128921,0,128929,5,,,
194,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128930,0,128941,68,,,
195,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128963,0,128970,5,,,
196,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,128971,0,128990,68,,,
197,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129082,0,129092,5,,,
198,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129094,0,129163,78,,,
199,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129228,0,129236,5,,,
200,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129237,0,129272,78,,,
201,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129290,0,129297,5,,,
202,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129298,0,129315,68,,,
203,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129510,0,129519,5,,,
204,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129520,0,129541,68,,,
205,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129567,0,129575,5,,,
206,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129576,0,129636,78,,,
207,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129657,0,129666,5,,,
208,-,./src/init/resources/jupyterlab-master/jupyterlab-master/jupyterlab/staging/yarn.js,129667,0,129688,68,,,
