counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2
1,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,31,0,10361,3,,,
2,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,54,0,1223,5,,,
3,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,1246,0,1910,5,,,
4,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,1934,0,2059,5,,,
5,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2072,0,2099,5,,,
6,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2118,0,2194,5,,,
7,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2211,0,2510,5,,,
8,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2525,0,2638,5,,,
9,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2654,0,2796,5,,,
10,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2817,0,2928,5,,,
11,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,2946,0,3274,5,,,
12,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,3292,0,3546,5,,,
13,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,3570,0,4001,5,,,
14,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,4027,0,4264,5,,,
15,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,4278,0,4820,5,,,
16,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,4851,0,5320,5,,,
17,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,5337,0,5432,5,,,
18,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,5448,0,5520,5,,,
19,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,5537,0,5725,5,,,
20,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,5740,0,6071,5,,,
21,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,6094,0,6403,5,,,
22,render,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,6163,8,6169,13,,,
23,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,6418,0,6534,5,,,
24,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,6559,0,6871,5,,,
25,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,6893,0,7200,5,,,
26,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,7216,0,7266,5,,,
27,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,7279,0,7388,5,,,
28,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,7408,0,7616,5,,,
29,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,7634,0,7856,5,,,
30,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,7875,0,8304,5,,,
31,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,8377,0,9841,5,,,
32,loop,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,8478,8,8481,13,,,
33,-,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,9863,0,10358,5,,,
34,loop,./src/init/resources/matter-js-master/matter-js-master/build/matter.js,9981,8,9984,13,,,
