counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2
1,-,./src/init/resources/melonJS-master/examples/entitypool/js/screens/play.js,1,0,48,5,,,
2,-,./src/init/resources/melonJS-master/examples/particles/js/editor/controls.js,1,0,494,5,,,
3,-,./src/init/resources/melonJS-master/examples/particles/js/editor/widgets.js,1,0,611,5,,,
4,-,./src/init/resources/melonJS-master/plugins/debug/debugPanel.js,7,0,816,5,,,
5,-,./src/init/resources/melonJS-master/plugins/debug/particleDebugPanel.js,14,0,299,5,,,
6,-,./src/init/resources/melonJS-master/src/audio/audio.js,4,0,593,5,,,
7,-,./src/init/resources/melonJS-master/src/audio/audio.js,10,4,591,9,,,
8,-,./src/init/resources/melonJS-master/src/camera/camera2d.js,1,0,735,5,,,
9,-,./src/init/resources/melonJS-master/src/config.js,1,0,199,5,,,
10,-,./src/init/resources/melonJS-master/src/entity/collectable_entity.js,1,0,22,5,,,
11,-,./src/init/resources/melonJS-master/src/entity/draggable.js,11,0,143,47,,,
12,-,./src/init/resources/melonJS-master/src/entity/droptarget.js,11,0,103,24,,,
13,-,./src/init/resources/melonJS-master/src/entity/entity.js,1,0,300,5,,,
14,-,./src/init/resources/melonJS-master/src/entity/level_entity.js,1,0,107,5,,,
15,-,./src/init/resources/melonJS-master/src/font/bitmaptext.js,1,0,365,5,,,
16,-,./src/init/resources/melonJS-master/src/font/bitmaptextdata.js,1,0,256,5,,,
17,-,./src/init/resources/melonJS-master/src/font/text.js,8,0,428,5,,,
18,-,./src/init/resources/melonJS-master/src/game.js,1,0,302,5,,,
19,-,./src/init/resources/melonJS-master/src/game.js,11,4,301,9,,,
20,-,./src/init/resources/melonJS-master/src/global.js,2,0,38,11,,,
21,-,./src/init/resources/melonJS-master/src/input/gamepad.js,1,0,517,13,,,
22,-,./src/init/resources/melonJS-master/src/input/input.js,1,0,37,5,,,
23,-,./src/init/resources/melonJS-master/src/input/keyboard.js,1,0,467,13,,,
24,-,./src/init/resources/melonJS-master/src/input/pointer.js,1,0,266,5,,,
25,-,./src/init/resources/melonJS-master/src/input/pointerevent.js,1,0,728,13,,,
26,-,./src/init/resources/melonJS-master/src/lang/window.js,3,0,63,5,,,
27,-,./src/init/resources/melonJS-master/src/lang/window.js,21,4,61,9,,,
28,-,./src/init/resources/melonJS-master/src/level/LevelDirector.js,1,0,344,5,,,
29,-,./src/init/resources/melonJS-master/src/level/LevelDirector.js,9,4,343,9,,,
30,-,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXHexagonalRenderer.js,1,0,496,5,,,
31,-,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXIsometricRenderer.js,1,0,216,5,,,
32,-,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXOrthogonalRenderer.js,1,0,149,5,,,
33,-,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXRenderer.js,1,0,119,5,,,
34,-,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXStaggeredRenderer.js,1,0,99,5,,,
35,-,./src/init/resources/melonJS-master/src/level/tiled/TMXGroup.js,1,0,125,5,,,
36,-,./src/init/resources/melonJS-master/src/level/tiled/TMXLayer.js,1,0,366,5,,,
37,-,./src/init/resources/melonJS-master/src/level/tiled/TMXObject.js,1,0,316,5,,,
38,-,./src/init/resources/melonJS-master/src/level/tiled/TMXTile.js,1,0,198,5,,,
39,-,./src/init/resources/melonJS-master/src/level/tiled/TMXTiledMap.js,1,0,554,5,,,
40,-,./src/init/resources/melonJS-master/src/level/tiled/TMXTileset.js,1,0,375,5,,,
41,-,./src/init/resources/melonJS-master/src/level/tiled/TMXUtils.js,1,0,381,5,,,
42,-,./src/init/resources/melonJS-master/src/level/tiled/TMXUtils.js,9,4,380,9,,,
43,-,./src/init/resources/melonJS-master/src/loader/loader.js,1,0,775,5,,,
44,-,./src/init/resources/melonJS-master/src/loader/loader.js,8,4,774,9,,,
45,-,./src/init/resources/melonJS-master/src/loader/loadingscreen.js,1,0,225,5,,,
46,-,./src/init/resources/melonJS-master/src/math/math.js,1,0,228,5,,,
47,-,./src/init/resources/melonJS-master/src/math/math.js,8,4,227,9,,,
48,-,./src/init/resources/melonJS-master/src/math/matrix2.js,1,0,478,5,,,
49,-,./src/init/resources/melonJS-master/src/math/observable_vector2.js,1,0,439,5,,,
50,-,./src/init/resources/melonJS-master/src/math/observable_vector3.js,1,0,526,5,,,
51,-,./src/init/resources/melonJS-master/src/math/vector2.js,1,0,479,5,,,
52,-,./src/init/resources/melonJS-master/src/math/vector3.js,1,0,497,5,,,
53,-,./src/init/resources/melonJS-master/src/particles/emitter.js,1,0,567,5,,,
54,-,./src/init/resources/melonJS-master/src/particles/emitter.js,3,4,9,9,,,
55,-,./src/init/resources/melonJS-master/src/particles/particle.js,1,0,160,5,,,
56,-,./src/init/resources/melonJS-master/src/particles/particlecontainer.js,1,0,93,5,,,
57,-,./src/init/resources/melonJS-master/src/physics/body.js,1,0,653,5,,,
58,-,./src/init/resources/melonJS-master/src/physics/collision.js,5,0,868,5,,,
59,-,./src/init/resources/melonJS-master/src/physics/collision.js,195,4,867,9,,,
60,-,./src/init/resources/melonJS-master/src/physics/quadtree.js,7,0,379,5,,,
61,-,./src/init/resources/melonJS-master/src/plugin/plugin.js,1,0,146,5,,,
62,-,./src/init/resources/melonJS-master/src/plugin/plugin.js,16,4,145,9,,,
63,-,./src/init/resources/melonJS-master/src/renderable/colorlayer.js,1,0,69,5,,,
64,-,./src/init/resources/melonJS-master/src/renderable/container.js,1,0,913,5,,,
65,-,./src/init/resources/melonJS-master/src/renderable/GUI.js,1,0,267,5,,,
66,-,./src/init/resources/melonJS-master/src/renderable/imagelayer.js,1,0,321,5,,,
67,-,./src/init/resources/melonJS-master/src/renderable/renderable.js,1,0,823,5,,,
68,-,./src/init/resources/melonJS-master/src/renderable/sprite.js,1,0,644,5,,,
69,-,./src/init/resources/melonJS-master/src/shapes/ellipse.js,1,0,274,5,,,
70,-,./src/init/resources/melonJS-master/src/shapes/line.js,1,0,92,5,,,
71,-,./src/init/resources/melonJS-master/src/shapes/poly.js,4,0,395,5,,,
72,-,./src/init/resources/melonJS-master/src/shapes/rectangle.js,1,0,473,5,,,
73,-,./src/init/resources/melonJS-master/src/state/stage.js,1,0,116,5,,,
74,-,./src/init/resources/melonJS-master/src/state/state.js,1,0,583,5,,,
75,-,./src/init/resources/melonJS-master/src/state/state.js,9,4,582,9,,,
76,-,./src/init/resources/melonJS-master/src/system/agent.js,1,0,86,5,,,
77,-,./src/init/resources/melonJS-master/src/system/agent.js,19,4,85,9,,,
78,-,./src/init/resources/melonJS-master/src/system/device.js,1,0,1031,5,,,
79,-,./src/init/resources/melonJS-master/src/system/device.js,7,4,971,9,,,
80,-,./src/init/resources/melonJS-master/src/system/event.js,4,0,434,5,,,
81,-,./src/init/resources/melonJS-master/src/system/event.js,10,4,433,9,,,
82,-,./src/init/resources/melonJS-master/src/system/pooling.js,1,0,218,5,,,
83,-,./src/init/resources/melonJS-master/src/system/pooling.js,16,4,217,9,,,
84,-,./src/init/resources/melonJS-master/src/system/save.js,1,0,136,5,,,
85,-,./src/init/resources/melonJS-master/src/system/save.js,77,20,97,28,,,
86,-,./src/init/resources/melonJS-master/src/system/save.js,33,4,135,9,,,
87,-,./src/init/resources/melonJS-master/src/system/timer.js,1,0,269,5,,,
88,-,./src/init/resources/melonJS-master/src/system/timer.js,8,4,268,9,,,
89,-,./src/init/resources/melonJS-master/src/tweens/tween.js,8,0,881,5,,,
90,-,./src/init/resources/melonJS-master/src/utils/array.js,1,0,67,13,,,
91,-,./src/init/resources/melonJS-master/src/utils/array.js,8,4,63,9,,,
92,-,./src/init/resources/melonJS-master/src/utils/color.js,1,0,586,5,,,
93,-,./src/init/resources/melonJS-master/src/utils/file.js,1,0,48,13,,,
94,-,./src/init/resources/melonJS-master/src/utils/file.js,8,4,44,9,,,
95,-,./src/init/resources/melonJS-master/src/utils/function.js,1,0,78,13,,,
96,-,./src/init/resources/melonJS-master/src/utils/function.js,8,4,74,9,,,
97,-,./src/init/resources/melonJS-master/src/utils/string.js,1,0,89,13,,,
98,-,./src/init/resources/melonJS-master/src/utils/string.js,8,4,85,9,,,
99,-,./src/init/resources/melonJS-master/src/utils/utils.js,1,0,159,5,,,
100,-,./src/init/resources/melonJS-master/src/utils/utils.js,9,4,158,9,,,
101,-,./src/init/resources/melonJS-master/src/utils/utils.js,102,8,131,13,,,
102,-,./src/init/resources/melonJS-master/src/video/canvas/canvas_renderer.js,1,0,734,5,,,
103,-,./src/init/resources/melonJS-master/src/video/renderer.js,1,0,429,5,,,
104,-,./src/init/resources/melonJS-master/src/video/texture.js,1,0,494,5,,,
105,-,./src/init/resources/melonJS-master/src/video/texture_cache.js,1,0,85,5,,,
106,-,./src/init/resources/melonJS-master/src/video/video.js,1,0,507,5,,,
107,-,./src/init/resources/melonJS-master/src/video/video.js,8,4,505,9,,,
108,-,./src/init/resources/melonJS-master/src/video/webgl/compositor.js,1,0,641,5,,,
109,-,./src/init/resources/melonJS-master/src/video/webgl/glshader.js,1,0,334,5,,,
110,-,./src/init/resources/melonJS-master/src/video/webgl/shaders/primitive-shader.js,1,0,51,5,,,
111,-,./src/init/resources/melonJS-master/src/video/webgl/shaders/quad-shader.js,1,0,101,5,,,
112,-,./src/init/resources/melonJS-master/src/video/webgl/webgl_renderer.js,1,0,1027,5,,,
113,-,./src/init/resources/melonJS-master/tasks/jsdoc-template/static/scripts/linenumber.js,2,0,30,5,,,
114,-,./src/init/resources/melonJS-master/tasks/jsdoc-template/static/scripts/prettify/prettify.js,2,0,28,119,,,
115,-,./src/init/resources/melonJS-master/tasks/jsdoc-template/static/scripts/prettify/prettify.js,8,478,9,183,,,
116,-,./src/init/resources/melonJS-master/tests/helper/helper-spec.js,5,0,40,5,,,
117,-,./src/init/resources/melonJS-master/tests/spec/draggable-spec.js,11,0,67,43,,,
118,-,./src/init/resources/melonJS-master/tests/spec/droptarget-spec.js,12,0,154,64,,,
