counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2
1,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,14,0,9227,13,,,
2,doScrollCheck,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,878,16,892,21,,,
3,add,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,998,20,1007,36,,,
4,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,3677,0,5139,13,,,
5,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,4991,4,5125,9,,,
6,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,6266,0,6326,5,,,
7,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,8152,0,8157,32,,,
8,-,./src/init/resources/piskel-master/misc/proto-ui-1/jquery-1.8.0.js,1239,0,1507,5,,,
9,-,./src/init/resources/piskel-master/src/js/app.js,5,0,261,5,,,
10,-,./src/init/resources/piskel-master/src/js/controller/CanvasBackgroundController.js,1,0,27,5,,,
11,-,./src/init/resources/piskel-master/src/js/controller/CursorCoordinatesController.js,1,0,84,5,,,
12,-,./src/init/resources/piskel-master/src/js/controller/dialogs/AbstractDialogController.js,1,0,29,5,,,
13,-,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/BrowseBackups.js,1,0,81,5,,,
14,-,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/steps/SelectSession.js,1,0,101,5,,,
15,-,./src/init/resources/piskel-master/src/js/controller/dialogs/backups/steps/SessionDetails.js,1,0,102,5,,,
16,-,./src/init/resources/piskel-master/src/js/controller/dialogs/BrowseLocalController.js,1,0,58,5,,,
17,-,./src/init/resources/piskel-master/src/js/controller/dialogs/CheatsheetController.js,1,0,185,5,,,
18,-,./src/init/resources/piskel-master/src/js/controller/dialogs/CreatePaletteController.js,1,0,132,5,,,
19,-,./src/init/resources/piskel-master/src/js/controller/dialogs/DialogsController.js,1,0,148,5,,,
20,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/ImportWizard.js,1,0,202,5,,,
21,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/AbstractImportStep.js,1,0,65,5,,,
22,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/AdjustSize.js,1,0,109,5,,,
23,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/ImageImport.js,1,0,282,5,,,
24,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/InsertLocation.js,1,0,59,5,,,
25,-,./src/init/resources/piskel-master/src/js/controller/dialogs/importwizard/steps/SelectMode.js,1,0,42,5,,,
26,-,./src/init/resources/piskel-master/src/js/controller/dialogs/PerformanceInfoController.js,1,0,11,5,,,
27,-,./src/init/resources/piskel-master/src/js/controller/dialogs/UnsupportedBrowserController.js,1,0,13,5,,,
28,-,./src/init/resources/piskel-master/src/js/controller/drawing/DragHandler.js,1,0,84,5,,,
29,-,./src/init/resources/piskel-master/src/js/controller/DrawingController.js,1,0,507,5,,,
30,-,./src/init/resources/piskel-master/src/js/controller/FramesListController.js,1,0,344,5,,,
31,-,./src/init/resources/piskel-master/src/js/controller/HeaderController.js,1,0,55,5,,,
32,-,./src/init/resources/piskel-master/src/js/controller/LayersListController.js,1,0,250,5,,,
33,-,./src/init/resources/piskel-master/src/js/controller/MinimapController.js,1,0,149,5,,,
34,-,./src/init/resources/piskel-master/src/js/controller/NotificationController.js,1,0,43,5,,,
35,-,./src/init/resources/piskel-master/src/js/controller/PaletteController.js,1,0,130,5,,,
36,-,./src/init/resources/piskel-master/src/js/controller/PalettesListController.js,1,0,213,5,,,
37,-,./src/init/resources/piskel-master/src/js/controller/PenSizeController.js,1,0,27,5,,,
38,-,./src/init/resources/piskel-master/src/js/controller/piskel/PiskelController.js,1,0,379,5,,,
39,-,./src/init/resources/piskel-master/src/js/controller/piskel/PublicPiskelController.js,1,0,117,5,,,
40,-,./src/init/resources/piskel-master/src/js/controller/preview/PopupPreviewController.js,1,0,87,5,,,
41,-,./src/init/resources/piskel-master/src/js/controller/preview/PreviewActionsController.js,1,0,232,5,,,
42,-,./src/init/resources/piskel-master/src/js/controller/preview/PreviewController.js,1,0,166,5,,,
43,-,./src/init/resources/piskel-master/src/js/controller/ProgressBarController.js,1,0,61,5,,,
44,-,./src/init/resources/piskel-master/src/js/controller/settings/AbstractSettingController.js,1,0,24,5,,,
45,-,./src/init/resources/piskel-master/src/js/controller/settings/exportimage/ExportController.js,1,0,95,5,,,
46,-,./src/init/resources/piskel-master/src/js/controller/settings/exportimage/GifExportController.js,1,0,192,5,,,
47,-,./src/init/resources/piskel-master/src/js/controller/settings/exportimage/MiscExportController.js,1,0,76,5,,,
48,-,./src/init/resources/piskel-master/src/js/controller/settings/exportimage/PngExportController.js,1,0,245,5,,,
49,-,./src/init/resources/piskel-master/src/js/controller/settings/exportimage/ZipExportController.js,1,0,90,5,,,
50,-,./src/init/resources/piskel-master/src/js/controller/settings/ImportController.js,1,0,115,5,,,
51,-,./src/init/resources/piskel-master/src/js/controller/settings/preferences/GridPreferencesController.js,1,0,101,5,,,
52,-,./src/init/resources/piskel-master/src/js/controller/settings/preferences/MiscPreferencesController.js,1,0,88,5,,,
53,-,./src/init/resources/piskel-master/src/js/controller/settings/preferences/TilePreferencesController.js,1,0,47,5,,,
54,-,./src/init/resources/piskel-master/src/js/controller/settings/PreferencesController.js,1,0,35,5,,,
55,-,./src/init/resources/piskel-master/src/js/controller/settings/resize/DefaultSizeController.js,1,0,47,5,,,
56,-,./src/init/resources/piskel-master/src/js/controller/settings/resize/ResizeController.js,1,0,104,5,,,
57,-,./src/init/resources/piskel-master/src/js/controller/settings/SaveController.js,1,0,184,5,,,
58,-,./src/init/resources/piskel-master/src/js/controller/settings/SettingsController.js,1,0,123,5,,,
59,-,./src/init/resources/piskel-master/src/js/controller/ToolController.js,1,0,131,5,,,
60,-,./src/init/resources/piskel-master/src/js/controller/TransformationsController.js,1,0,72,5,,,
61,-,./src/init/resources/piskel-master/src/js/controller/UserWarningController.js,1,0,59,5,,,
62,-,./src/init/resources/piskel-master/src/js/database/BackupDatabase.js,1,0,258,5,,,
63,-,./src/init/resources/piskel-master/src/js/database/migrate/MigrateLocalStorageToIndexedDb.js,1,0,76,5,,,
64,-,./src/init/resources/piskel-master/src/js/database/PiskelDatabase.js,1,0,139,5,,,
65,-,./src/init/resources/piskel-master/src/js/devtools/DrawingTestPlayer.js,1,0,221,5,,,
66,-,./src/init/resources/piskel-master/src/js/devtools/DrawingTestRecorder.js,1,0,178,5,,,
67,-,./src/init/resources/piskel-master/src/js/devtools/DrawingTestRunner.js,1,0,24,5,,,
68,-,./src/init/resources/piskel-master/src/js/devtools/DrawingTestSuiteController.js,1,0,85,5,,,
69,-,./src/init/resources/piskel-master/src/js/devtools/DrawingTestSuiteRunner.js,1,0,68,5,,,
70,-,./src/init/resources/piskel-master/src/js/devtools/init.js,1,0,34,5,,,
71,-,./src/init/resources/piskel-master/src/js/devtools/lib/Blob.js,1,0,195,107,,,
72,-,./src/init/resources/piskel-master/src/js/devtools/MouseEvent.js,1,0,25,5,,,
73,-,./src/init/resources/piskel-master/src/js/devtools/TestRecordController.js,1,0,76,5,,,
74,-,./src/init/resources/piskel-master/src/js/lib/gif/gif.worker.js,1,0,24,5,,,
75,-,./src/init/resources/piskel-master/src/js/lib/gif/libgif.js,1,0,45,13,,,
76,-,./src/init/resources/piskel-master/src/js/lib/gif/libgif.js,88,0,667,13,,,
