counter,name,file_name,start_row,start_column,end_row,end_column,can_be_refactored,precondition1,precondition2,comments
1,-,./src/init/resources/protractor-master/protractor-master/lib/clientsidescripts.js,912,14,917,25,TRUE,0,0,simple case for refactor
2,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular-animate.min.js,6,0,24,301,TRUE,0,0,no need for refactor - minified as library
3,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular-route.min.js,6,0,13,211,TRUE,0,0,no need for refactor - minified as library
4,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,6,0,201,146,TRUE,0,0,no need for refactor - minified as library
5,T,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,33,407,33,455,TRUE,0,0,no need for refactor - minified as library
6,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,69,119,69,247,TRUE,0,0,no need for refactor - minified as library
7,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,69,247,69,367,TRUE,0,0,no need for refactor - minified as library
8,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,116,425,117,21,TRUE,0,0,no need for refactor - minified as library
9,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,198,266,201,94,TRUE,0,0,no need for refactor - minified as library
10,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,64,380,65,204,TRUE,0,0,no need for refactor - minified as library
11,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,129,287,129,444,TRUE,0,0,no need for refactor - minified as library
12,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-animate.min.js,6,0,32,128,TRUE,0,0,no need for refactor - minified as library
13,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-aria.min.js,6,0,11,352,TRUE,0,0,no need for refactor - minified as library
14,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-route.min.js,6,0,14,167,TRUE,0,0,no need for refactor - minified as library
15,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,6,0,249,459,TRUE,0,0,no need for refactor - minified as library
16,N,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,40,194,40,242,TRUE,0,0,no need for refactor - minified as library
17,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,83,293,83,421,TRUE,0,0,no need for refactor - minified as library
18,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,83,421,84,43,TRUE,0,0,no need for refactor - minified as library
19,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,79,189,79,362,TRUE,0,0,no need for refactor - minified as library
20,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-animate.min.js,6,0,55,147,TRUE,0,0,no need for refactor - minified as library
21,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-animate.min.js,47,252,47,355,TRUE,0,0,no need for refactor - minified as library
22,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-aria.min.js,6,0,13,106,TRUE,0,0,no need for refactor - minified as library
23,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-route.min.js,6,0,14,281,TRUE,0,0,no need for refactor - minified as library
24,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,6,0,306,402,TRUE,0,0,no need for refactor - minified as library
25,-,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,96,193,96,324,TRUE,0,0,no need for refactor - minified as library
