counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,0,0,false,./src/init/resources/Modernizr-master/Modernizr-master/feature-detects/css/columns.js,12,2,41,7,
2,-,UNNAMED,1,0,true,./src/init/resources/Modernizr-master/Modernizr-master/feature-detects/css/fontface.js,30,2,35,7,
3,-,UNNAMED,0,0,false,./src/init/resources/Modernizr-master/Modernizr-master/feature-detects/css/textdecoration.js,15,2,39,7,
4,-,UNNAMED,1,1,true,./src/init/resources/Modernizr-master/Modernizr-master/feature-detects/input.js,43,2,53,17,
5,-,UNNAMED,1,1,true,./src/init/resources/Modernizr-master/Modernizr-master/feature-detects/inputtypes.js,53,2,107,17,
6,-,UNNAMED,1,0,true,./src/init/resources/Modernizr-master/Modernizr-master/src/hasEvent.js,29,2,70,7,
7,-,UNNAMED,0,0,false,./src/init/resources/Modernizr-master/Modernizr-master/src/hasOwnProp.js,16,2,31,7,
8,-,UNNAMED,2,2,false,./src/init/resources/Modernizr-master/Modernizr-master/src/html5printshiv.js,13,5,533,64,
9,-,UNNAMED,0,0,false,./src/init/resources/Modernizr-master/Modernizr-master/src/html5printshiv.js,42,6,65,11,
10,-,UNNAMED,2,2,false,./src/init/resources/Modernizr-master/Modernizr-master/src/html5shiv.js,13,5,335,64,
11,-,UNNAMED,0,0,false,./src/init/resources/Modernizr-master/Modernizr-master/src/html5shiv.js,42,6,65,11,
12,-,UNNAMED,1,0,true,./src/init/resources/Modernizr-master/Modernizr-master/src/mq.js,47,2,67,7,
