counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,
16,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,
17,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/d3-geo-projection/d3-geo-projection.js,2,13493,2,13609,
18,-,UNNAMED,1,2,true,./src/init/resources/amphtml-master/amphtml-master/third_party/inputmask/bundle.js,11,34094,11,36649,
19,-,UNNAMED,0,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,1447,4,12333,
20,-,UNNAMED,0,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,17207,5,10671,
21,-,UNNAMED,2,0,false,./src/init/resources/amphtml-master/amphtml-master/third_party/wgxpath/wgxpath.js,33,3,33,253,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,
16,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,
17,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/d3-geo-projection/d3-geo-projection.js,2,13493,2,13609,
18,-,UNNAMED,1,2,true,./src/init/resources/amphtml-master/amphtml-master/third_party/inputmask/bundle.js,11,34094,11,36649,
19,-,UNNAMED,0,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,1447,4,12333,
20,-,UNNAMED,0,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/vega/vega.js,4,17207,5,10671,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,
16,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,
17,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/d3-geo-projection/d3-geo-projection.js,2,13493,2,13609,
18,-,UNNAMED,1,2,true,./src/init/resources/amphtml-master/amphtml-master/third_party/inputmask/bundle.js,11,34094,11,36649,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,
16,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,
17,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/d3-geo-projection/d3-geo-projection.js,2,13493,2,13609,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,
16,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/closure-library/sha384-generated.js,10,661,10,739,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,
14,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,26,0,741,5,
15,-,UNNAMED,1,1,true,./src/init/resources/amphtml-master/amphtml-master/third_party/caja/html-sanitizer.js,1458,0,2472,10,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,
12,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,95,0,940,5,
13,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-bind/0.1/bind-expr-impl.js,530,0,933,5,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
9,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,325,0,710,5,
10,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,95,0,864,5,
11,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-animation/0.1/parsers/css-expr-impl.js,424,0,857,5,counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,3,3,false,./src/init/resources/amphtml-master/amphtml-master/ads/nativo.js,24,2,158,42,
2,-,UNNAMED,2,2,false,./src/init/resources/amphtml-master/amphtml-master/ads/svknative.js,34,2,42,31,
3,-,UNNAMED,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,16,0,18,13,
4,ArrowFunction,ARROW,1,1,false,./src/init/resources/amphtml-master/amphtml-master/build-system/babel-plugins/babel-plugin-transform-amp-extension-call/test/fixtures/transform-call/transform-simple-body/output.js,20,0,22,13,
5,-,UNNAMED,6,0,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
6,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
7,-,UNNAMED,6,1,true,./src/init/resources/amphtml-master/amphtml-master/examples/amp-script/todomvc.ssr.js,1,10387,1,13328,
8,-,UNNAMED,1,0,true,./src/init/resources/amphtml-master/amphtml-master/extensions/amp-access/0.1/access-expr-impl.js,95,0,717,5,
