counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,1,1,false,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone-amd-module.js,2,0,3545,4,
2,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone-amd-module.js,15,0,15,564,
3,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone-amd-module.js,53,0,141,4,
4,-,UNNAMED,1,1,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone-amd-module.js,143,0,2875,11,
5,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone-amd-module.js,3302,0,3462,4,
6,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone.js,3,0,3,564,
7,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone.js,41,0,129,4,
8,-,UNNAMED,1,1,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone.js,131,0,2863,11,
9,-,UNNAMED,1,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/dropzone.js,3290,0,3450,4,
10,-,UNNAMED,4,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone-amd-module.min.js,1,808,2,6419,
11,-,UNNAMED,4,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone-amd-module.min.js,1,808,2,6419,
12,-,UNNAMED,4,1,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone-amd-module.min.js,1,808,2,6419,
13,-,UNNAMED,3,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone-amd-module.min.js,2,10592,2,13051,
14,-,UNNAMED,3,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone.min.js,1,795,2,3695,
15,-,UNNAMED,3,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone.min.js,1,795,2,3695,
16,-,UNNAMED,3,1,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone.min.js,1,795,2,3695,
17,-,UNNAMED,3,0,true,./src/init/resources/dropzone-master/dropzone-master/dist/min/dropzone.min.js,2,7620,2,10166,
