counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/examples/entitypool/js/screens/play.js,1,0,48,5,
2,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/examples/particles/js/editor/controls.js,1,0,494,5,
3,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/examples/particles/js/editor/widgets.js,1,0,611,5,
4,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/plugins/debug/debugPanel.js,7,0,816,5,
5,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/plugins/debug/particleDebugPanel.js,14,0,299,5,
6,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/audio/audio.js,4,0,593,5,
7,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/audio/audio.js,10,4,591,9,
8,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/camera/camera2d.js,1,0,735,5,
9,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/config.js,1,0,199,5,
10,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/entity/collectable_entity.js,1,0,22,5,
11,-,UNNAMED,4,4,true,./src/init/resources/melonJS-master/src/entity/draggable.js,11,0,143,47,
12,-,UNNAMED,2,2,true,./src/init/resources/melonJS-master/src/entity/droptarget.js,11,0,103,24,
13,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/entity/entity.js,1,0,300,5,
14,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/entity/level_entity.js,1,0,107,5,
15,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/font/bitmaptext.js,1,0,365,5,
16,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/font/bitmaptextdata.js,1,0,256,5,
17,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/font/text.js,8,0,428,5,
18,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/game.js,1,0,302,5,
19,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/game.js,11,4,301,9,
20,-,UNNAMED,1,1,false,./src/init/resources/melonJS-master/src/global.js,2,0,38,11,
21,-,UNNAMED,1,1,false,./src/init/resources/melonJS-master/src/input/gamepad.js,1,0,517,13,
22,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/input/input.js,1,0,37,5,
23,-,UNNAMED,1,1,false,./src/init/resources/melonJS-master/src/input/keyboard.js,1,0,467,13,
24,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/input/pointer.js,1,0,266,5,
25,-,UNNAMED,1,1,false,./src/init/resources/melonJS-master/src/input/pointerevent.js,1,0,728,13,
26,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/lang/window.js,3,0,63,5,
27,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/lang/window.js,21,4,61,9,
28,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/LevelDirector.js,1,0,344,5,
29,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/level/LevelDirector.js,9,4,343,9,
30,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXHexagonalRenderer.js,1,0,496,5,
31,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXIsometricRenderer.js,1,0,216,5,
32,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXOrthogonalRenderer.js,1,0,149,5,
33,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXRenderer.js,1,0,119,5,
34,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/renderer/TMXStaggeredRenderer.js,1,0,99,5,
35,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXGroup.js,1,0,125,5,
36,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXLayer.js,1,0,366,5,
37,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXObject.js,1,0,316,5,
38,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXTile.js,1,0,198,5,
39,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXTiledMap.js,1,0,554,5,
40,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXTileset.js,1,0,375,5,
41,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/level/tiled/TMXUtils.js,1,0,381,5,
42,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/level/tiled/TMXUtils.js,9,4,380,9,
43,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/loader/loader.js,1,0,775,5,
44,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/loader/loader.js,8,4,774,9,
45,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/loader/loadingscreen.js,1,0,225,5,
46,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/math.js,1,0,228,5,
47,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/math/math.js,8,4,227,9,
48,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/matrix2.js,1,0,478,5,
49,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/observable_vector2.js,1,0,439,5,
50,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/observable_vector3.js,1,0,526,5,
51,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/vector2.js,1,0,479,5,
52,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/math/vector3.js,1,0,497,5,
53,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/particles/emitter.js,1,0,567,5,
54,-,UNNAMED,1,0,true,./src/init/resources/melonJS-master/src/particles/emitter.js,3,4,9,9,
55,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/particles/particle.js,1,0,160,5,
56,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/particles/particlecontainer.js,1,0,93,5,
57,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/physics/body.js,1,0,653,5,
58,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/physics/collision.js,5,0,868,5,
59,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/physics/collision.js,195,4,867,9,
60,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/physics/quadtree.js,7,0,379,5,
61,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/plugin/plugin.js,1,0,146,5,
62,-,UNNAMED,0,0,true,./src/init/resources/melonJS-master/src/plugin/plugin.js,16,4,145,9,
63,-,UNNAMED,0,0,false,./src/init/resources/melonJS-master/src/renderable/colorlayer.js,1,0,69,5,
