counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,1,1,true,./src/init/resources/protractor-master/protractor-master/lib/clientsidescripts.js,912,14,917,25,
2,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular-animate.min.js,6,0,24,301,
3,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular-route.min.js,6,0,13,211,
4,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,6,0,201,146,
5,T,NAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,33,407,33,455,
6,-,UNNAMED,4,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,69,119,69,247,
7,-,UNNAMED,2,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,69,247,69,367,
8,-,UNNAMED,1,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,116,425,117,21,
9,-,UNNAMED,1,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,198,266,201,94,
10,-,UNNAMED,2,1,true,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,64,380,65,204,
11,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.2.9/angular.min.js,129,287,129,444,
12,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-animate.min.js,6,0,32,128,
13,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-aria.min.js,6,0,11,352,
14,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular-route.min.js,6,0,14,167,
15,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,6,0,249,459,
16,N,NAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,40,194,40,242,
17,-,UNNAMED,4,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,83,293,83,421,
18,-,UNNAMED,3,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,83,421,84,43,
19,-,UNNAMED,1,1,true,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.3.13/angular.min.js,79,189,79,362,
20,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-animate.min.js,6,0,55,147,
21,-,UNNAMED,0,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-animate.min.js,47,252,47,355,
22,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-aria.min.js,6,0,13,106,
23,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular-route.min.js,6,0,14,281,
24,-,UNNAMED,2,3,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,6,0,306,402,
25,-,UNNAMED,4,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,96,193,96,324,
26,-,UNNAMED,3,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,96,324,96,455,
27,-,UNNAMED,1,1,true,./src/init/resources/protractor-master/protractor-master/testapp/ng1/lib/angular_v1.5.0/angular.min.js,92,3,92,184,
28,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng2/app/app.component.js,12,0,23,5,
29,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng2/app/app.module.js,17,0,36,5,
30,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng2/app/async/async.component.js,12,0,106,5,
31,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/ng2/app/home/home.component.js,12,0,22,5,
32,-,UNNAMED,1,1,false,./src/init/resources/protractor-master/protractor-master/testapp/ng2/system-config.js,5,0,44,9,
33,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/downgrade/ng2.js,7,0,26,5,
34,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/downgrade/ng2.js,28,0,48,5,
35,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/module.js,17,0,38,5,
36,-,UNNAMED,1,1,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/ng1.js,35,0,47,30,
37,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/ng2.js,12,0,30,5,
38,-,UNNAMED,1,0,true,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/app/no_static/upgrader.js,16,0,31,5,
39,-,UNNAMED,1,1,false,./src/init/resources/protractor-master/protractor-master/testapp/upgrade/systemjs.config.js,5,0,49,9,
40,-,UNNAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/website/js/api-controller.js,1,0,270,5,
41,-,UNNAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/website/js/directives.js,6,0,100,5,
42,-,UNNAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/website/js/markdown-controller.js,1,0,15,5,
43,-,UNNAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/website/js/prettify.js,2,0,30,110,
44,-,UNNAMED,0,0,false,./src/init/resources/protractor-master/protractor-master/website/js/prettify.js,8,438,9,143,
45,runTests,NAMED,1,1,false,./src/init/resources/protractor-master/protractor-master/website/run-tests.js,20,0,38,6,
