counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column
1,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/collection.js,1,0,2103,10
2,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/events.js,1,0,743,10
3,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/model.js,1,0,1470,10
4,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/noconflict.js,1,0,13,10
5,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/router.js,1,0,1081,10
6,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/sync.js,1,0,239,10
7,-,UNNAMED,1,1,FALSE,./src/init\resources\backbone-master\test/view.js,1,0,516,10
1,-,UNNAMED,2,2,FALSE,./src/init\resources\backbone-master\docs\js/jquery.lazyload.js,15,0,210,19
1,-,UNNAMED,2,2,FALSE,./src/init\resources\backbone-master\examples/backbone.localStorage.js,7,0,184,4
1,-,UNNAMED,1,0,false,./src/init\resources\backbone-master\examples\todos/todos.js,7,0,234,3
